CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
45,Denmark,Denmark,Europe,10,7,78.00,98.60,89.60,99.50,42.30,21.10,96.20,89.00,64.40,85.70,79.20,90,80,2.90,56,22,46.30,51.30,5.80,343.20,-3.30,1.60,58933,5.70,0.30,1151,43.40
46,Djibouti,Djibouti,Sub-Saharan Africa,120,21,55.30,33.10,28.30,24.50,80.00,83.30,92.10,48.60,50.70,69.50,43.20,60,50,20.90,30,25,21.80,23.60,1.00,5.60,-1.00,5.40,5096,11.60,2.90,240,42.20
47,Dominica,Dominica,Americas,125,24,54.40,68.10,81.60,56.20,71.60,8.50,1.10,55.80,59.00,84.90,55.60,70,40,14.70,35,25,31.50,55.20,0.10,0.80,-10.40,-1.90,11073,N/A,-0.30,25,97.10
48,Dominican Republic,DominicanRepublic,Americas,71,16,63.00,54.00,55.90,30.80,84.60,89.90,66.80,68.10,52.90,73.50,69.00,70,40,8.00,25,27,13.50,18.30,10.80,194.60,-6.70,3.30,18608,8.90,3.80,2554,69.40
49,Ecuador,Ecuador,Americas,126,25,54.30,31.40,47.30,37.20,77.50,59.70,63.10,60.30,57.30,81.50,61.00,35,40,9.50,35,25,20.10,36.70,17.60,192.80,-7.50,-1.00,11009,6.20,-0.30,1017,64.60
50,Egypt,Egypt,Middle East and North Africa,152,11,49.10,39.00,22.10,28.70,87.10,75.70,3.70,54.10,32.90,70.90,60.20,65,50,12.40,23,23,16.70,28.50,102.30,1290.20,3.60,4.60,12790,10.50,5.70,5852,90.20
51,El Salvador,ElSalvador,Americas,90,18,59.60,43.20,46.80,36.10,77.70,74.70,50.30,65.00,54.60,76.80,69.40,60,60,7.80,30,30,20.80,29.10,6.50,54.60,-8.60,0.20,8422,7.00,0.20,200,88.20
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,163,41,47.20,18.90,6.90,6.50,75.10,91.00,94.80,34.40,46.50,73.00,48.80,40,30,15.60,35,35,6.30,17.30,1.40,25.00,-5.80,-6.40,17788,9.20,4.80,530,51.10
53,Eritrea,Eritrea,Sub-Saharan Africa,171,44,39.70,8.60,3.90,11.10,72.70,68.60,79.00,30.10,51.20,61.50,69.20,0,20,5.40,30,30,30.50,32.40,3.60,6.50,-0.60,2.70,1821,7.40,4.90,74,184.70
54,Estonia,Estonia,Europe,7,4,80.00,91.50,92.30,83.90,81.10,48.40,93.30,86.90,61.10,82.80,79.20,90,70,2.90,20,20,33.10,41.50,1.30,50.20,-2.90,3.00,37745,6.50,-0.60,3156,18.50
